system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,slope,.geo
2_10756,0.4689558148384094,0.3712940216064453,0.00746921356767416,0.659351646900177,0.6518824100494385,0.32030001282691956,0.06750000268220901,0.24089999496936798,0.25870001316070557,1.5542384386062622,-13.181337356567383,-15.903722763061523,-4.939916610717773,-10.2324857711792,100.29464721679688,1633.0,10.268460273742676,"{""type"":""Point"",""coordinates"":[29.1315855603798,-2.5774892060843024]}"
2_10763,0.562548816204071,0.4845024645328522,0.09071242064237595,0.7524558305740356,0.6617434024810791,0.3867500126361847,0.07872500270605087,0.29295000433921814,0.25827500224113464,4.355885982513428,-14.573262214660645,-9.0201997756958,-8.576469421386719,-2.0708069801330566,213.3013916015625,1597.0,31.789819717407227,"{""type"":""Point"",""coordinates"":[29.13383451991955,-2.5725440590273063]}"
2_10764,0.4539262056350708,0.4683666229248047,0.021392952650785446,0.6688963174819946,0.6475033760070801,0.3052000105381012,0.06530000269412994,0.18860000371932983,0.19589999318122864,1.929412603378296,-14.77722454071045,-14.24859619140625,-8.428434371948242,-7.384940147399902,344.9187927246094,1687.0,23.552152633666992,"{""type"":""Point"",""coordinates"":[29.062609233713445,-2.4080447105671907]}"
2_10765,0.44573965668678284,0.43060538172721863,-0.021052343770861626,0.6168618202209473,0.6379141807556152,0.30730000138282776,0.0679333359003067,0.2328999936580658,0.2231999933719635,5.535123348236084,-20.460906982421875,-10.03496265411377,-14.888214111328125,-1.8129608631134033,290.3930969238281,1527.0,36.622867584228516,"{""type"":""Point"",""coordinates"":[29.042037996622064,-2.4265970369641816]}"
2_10767,0.3934352397918701,0.36586517095565796,0.059890687465667725,0.6283801198005676,0.5684894323348999,0.2897000014781952,0.07970000058412552,0.2146500051021576,0.22210000455379486,1.7439603805541992,-14.530440330505371,-14.974937438964844,-7.9015960693359375,-8.58674144744873,337.1567077636719,1676.0,18.45607566833496,"{""type"":""Point"",""coordinates"":[29.292539222360745,-1.7568753896866067]}"
2_10772,0.2063065618276596,0.34011998772621155,0.08861944824457169,0.4848315715789795,0.3962121307849884,0.1843000054359436,0.07970000058412552,0.17682500183582306,0.15993750095367432,1.9674471616744995,-16.72869873046875,-15.58705997467041,-10.780195236206055,-7.922479629516602,260.54754638671875,1002.0,16.47318458557129,"{""type"":""Point"",""coordinates"":[29.03384170613434,-2.640110527574761]}"
2_10777,0.38037505745887756,0.3901681900024414,0.021875059232115746,0.602401614189148,0.5805265307426453,0.26864999532699585,0.07129999995231628,0.18860000371932983,0.1940000057220459,2.5070745944976807,-16.15876579284668,-16.165210723876953,-7.91290283203125,-6.447838306427002,90.0,2341.0,0.9277673363685608,"{""type"":""Point"",""coordinates"":[29.385239776189596,-1.5904945345656243]}"
2_10779,0.5545195937156677,0.6162092089653015,0.058148037642240524,0.7582719326019287,0.7001239061355591,0.34299999475479126,0.060499999672174454,0.14380000531673431,0.1581999957561493,3.5543227195739746,-16.959951400756836,-8.689626693725586,-12.43501091003418,-2.444805145263672,256.6125793457031,2317.0,34.95942306518555,"{""type"":""Point"",""coordinates"":[29.584330659097283,-1.6085796332455333]}"
2_10790,0.5361578464508057,0.4664427638053894,0.018306393176317215,0.7158098816871643,0.6975035071372986,0.3493250012397766,0.06224999949336052,0.21699999272823334,0.22394999861717224,2.0115580558776855,-14.72205924987793,-13.895432472229004,-7.2687530517578125,-6.9077959060668945,172.86790466308594,1657.0,7.435758113861084,"{""type"":""Point"",""coordinates"":[28.90480066099749,-2.5664066046889262]}"
2_10791,0.6199101805686951,0.6284083724021912,-0.02180250734090805,0.766083300113678,0.787885844707489,0.38519999384880066,0.04569999873638153,0.18170000612735748,0.18250000476837158,1.6579813957214355,-13.28648567199707,-14.774723052978516,-6.4862470626831055,-8.911272048950195,93.68797302246094,2611.0,26.717435836791992,"{""type"":""Point"",""coordinates"":[29.260607975355814,-2.467706345778593]}"
2_10792,0.20664115250110626,0.1500130593776703,0.06742928922176361,0.38738736510276794,0.3199580907821655,0.22040000557899475,0.11354999989271164,0.20469999313354492,0.20170000195503235,5.906596660614014,-15.744758605957031,-11.558700561523438,-7.343893051147461,-1.9569138288497925,303.6654052734375,1715.0,6.6623616218566895,"{""type"":""Point"",""coordinates"":[28.93286881958438,-2.4737693972018664]}"
2_10793,0.3886910378932953,0.563858151435852,-0.02333954907953739,0.7341582775115967,0.7574978470802307,0.20509999990463257,0.028300000354647636,0.12680000066757202,0.11999999731779099,1.8381673097610474,-15.266569137573242,-14.40294075012207,-9.096090316772461,-7.835489749908447,65.00437927246094,2087.0,15.011730194091797,"{""type"":""Point"",""coordinates"":[29.20731906333008,-2.5221302879728342]}"
2_10794,0.29686838388442993,0.5580412745475769,-0.058656442910432816,0.6785941123962402,0.737250566482544,0.156700000166893,0.02370000071823597,0.1096000000834465,0.08545000106096268,1.7328336238861084,-16.15899085998535,-12.290964126586914,-11.826255798339844,-7.092986106872559,226.99827575683594,2399.0,18.38115119934082,"{""type"":""Point"",""coordinates"":[29.29587552881308,-2.315531487105933]}"
2_10802,0.42248135805130005,0.42432278394699097,-0.23596882820129395,0.42551785707473755,0.6614866852760315,0.27976667881011963,0.05700000002980232,0.24140000343322754,0.18947499990463257,1.487871766090393,-16.320220947265625,-16.470531463623047,-10.268998146057129,-11.069859504699707,4.087788105010986,2555.0,24.437694549560547,"{""type"":""Point"",""coordinates"":[29.432790493270193,-1.8708671189691417]}"
