system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
2_4602_0,0.4305757,0.5293549,-0.037592333,0.7222443,0.7598367,0.23705,0.03235,0.1438,0.15465,1.7430912,-14.46802,-13.771341,-8.618,-7.900528,63.45696,1703.0,0,4.143815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.069976667513984,-2.5110157979350927]}"
2_4603_0,0.45571858,0.4272727,0.030784024,0.7324415,0.7016575,0.28783333,0.050464287,0.2163889,0.21717143,1.7321655,-13.928612,-14.342759,-7.543158,-8.280248,67.40362,1534.0,0,11.895347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.875940566144166,-2.753021935476892]}"
2_4605_0,0.4583676,0.4368018,-0.061612517,0.6295681,0.6911806,0.3001,0.0548,0.2544,0.21845,1.660478,-17.291466,-16.735039,-11.02968,-10.078446,10.898419,1533.0,0,23.20058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.18720681209158,-2.8212040655415636]}"
2_4606_0,0.579317,0.6369169,-0.0072153625,0.8103522,0.8175676,0.3228,0.0324,0.1522,0.1532,6.233076,-9.652476,-8.058169,-2.830252,-1.2928078,325.46344,1882.0,0,17.453953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.242183707479697,-2.6223170616375016]}"
2_4607_0,0.4029651,0.32869345,0.027670678,0.64894533,0.62127465,0.29045713,0.06785,0.243475,0.2483,1.6482303,-16.154705,-16.53135,-8.967443,-10.029757,56.341476,1541.0,0,9.939713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.270211144344223,-2.798297025796516]}"
2_4608_0,0.62129676,0.5265373,0.005007378,0.80437815,0.79937077,0.37175,0.04145,0.2224,0.22691429,1.536211,-15.336571,-17.059904,-9.114502,-11.105184,123.66296,1405.0,0,19.312698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.999099591596952,-2.594559119358208]}"
2_4609_0,0.51543784,0.52730894,0.038987502,0.78835267,0.74936515,0.30655,0.04392,0.17825,0.18564166,1.9008367,-15.029095,-15.32254,-9.336061,-8.0609455,68.21796,1539.0,0,19.238483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.007453923739266,-2.536617783532499]}"
2_4611_0,0.42523444,0.56962025,-0.060937375,0.727408,0.78834534,0.2294,0.02715,0.1378,0.13615,2.0572927,-11.605569,-13.295969,-4.7231503,-6.4628477,112.36082,2358.0,0,16.586294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.15675392395993,-2.5077818629122626]}"
2_4612_0,0.44137698,0.59014744,-0.010592473,0.7860755,0.79666793,0.23725,0.02685,0.1337,0.1316,1.8445526,-13.594736,-14.346089,-7.719926,-7.7775445,112.59685,2256.0,0,11.895121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.331116920607528,-2.7255334877828346]}"
2_4613_0,0.40229425,0.50361663,0.064780034,0.74316525,0.6783852,0.24945,0.0478,0.1606,0.1608,1.5024687,-16.167461,-16.478315,-10.592152,-10.967493,120.93212,1484.0,0,5.397117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.265090747224743,-2.8664791558611875]}"
