EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope
0.33707255,0.31014082,-0.10318908,0.4785147,0.5817038,0.23255,0.0615,0.25075,0.19525,1.6860807,-16.465364,-14.598028,-10.53298,-8.657966,209.76622,1403.0,1,7.43721
0.32038802,0.22853944,-0.09176385,0.43442225,0.5261861,0.24158,0.075,0.28405,0.2354,1.6758693,-16.160292,-14.939625,-9.930553,-8.914553,175.23225,1401.0,1,11.03022
0.35519946,0.32687405,-0.11704104,0.45468953,0.5717306,0.2602,0.0709,0.2638,0.20935,1.5875947,-16.719393,-14.589898,-10.797899,-9.189939,206.58487,1406.0,1,4.141356
0.34303302,0.31654578,-0.09587529,0.48454198,0.5804173,0.2405,0.06385,0.2585,0.20025,1.6307812,-16.297606,-14.527155,-10.351325,-8.908095,180.0,1406.0,1,4.6273675
0.31052807,0.24454652,-0.070329525,0.44246313,0.51279265,0.2439,0.07855,0.2788,0.228925,1.6391827,-16.711815,-15.097478,-10.594709,-9.210369,195.26768,1413.0,1,10.457951
0.3422262,0.30346665,-0.06522233,0.50547177,0.5706941,0.2444,0.0668,0.2547,0.20995,1.5914364,-16.077944,-14.605815,-10.907359,-9.177756,233.15385,1419.0,1,9.200145
0.3091885,0.2227269,-0.06768868,0.44575605,0.5134447,0.2378,0.07645,0.3079,0.24258,1.611824,-18.373846,-16.071999,-11.666425,-9.971312,247.39769,1395.0,1,11.892472
0.3567793,0.30735022,-0.11139014,0.46253523,0.5739254,0.2499,0.06765,0.27166668,0.2111,1.6717359,-16.783173,-15.001069,-10.859313,-8.973349,243.45471,1432.0,1,2.0744581
0.34333014,0.28064,-0.10767743,0.47960797,0.5872854,0.23345,0.0607,0.2557,0.2034,1.6370994,-16.37839,-14.363276,-10.719224,-8.773612,163.28711,1406.0,1,9.593317
0.33904123,0.32600537,-0.106970005,0.45426738,0.5612374,0.2473,0.0695,0.2649,0.2061,1.6687981,-16.731857,-15.080279,-11.091576,-9.036611,195.95845,1465.0,1,6.7216682
0.32051933,0.23393661,-0.07014931,0.44766957,0.51781887,0.24773334,0.0787,0.2776,0.2407,1.6131105,-17.794556,-16.201029,-11.950499,-10.043347,216.89359,1470.0,1,4.6287966
0.26670325,0.12624273,-0.051325075,0.4043077,0.45563278,0.22515,0.0842,0.2852,0.2649,1.5019323,-18.035774,-17.59626,-12.098855,-11.715748,119.72364,1432.0,1,7.440418
0.30161238,0.37544686,0.2049048,0.7500243,0.5451195,0.2044,0.060175,0.17135,0.16907273,1.6415869,-16.254631,-15.659146,-11.125143,-9.539029,-0.0,1322.0,1,1.8543341
0.36865664,0.3813842,0.08537477,0.6962631,0.6108883,0.245,0.05918,0.18021667,0.1924,1.6185923,-16.369051,-15.373464,-11.550995,-9.498046,270.0,1323.0,1,0.92820394
0.32137147,0.3100428,0.13257566,0.6935513,0.5609756,0.22186667,0.0624,0.176625,0.19783333,1.6214399,-16.665432,-15.712329,-12.31701,-9.690355,-0.0,1323.0,1,0.0
0.40450403,0.42892128,0.06882553,0.70748687,0.6386614,0.262575,0.0579,0.18028,0.18663333,1.5985317,-16.53702,-15.734138,-11.721228,-9.842869,123.66745,1322.0,1,3.3423011
0.31402776,0.28377753,0.022269923,0.56456673,0.5422968,0.232,0.06885,0.2064,0.20566666,1.5653208,-14.602026,-14.779988,-9.386343,-9.442146,101.30053,1439.0,1,4.7224545
0.07901276,0.16217056,0.028903585,0.1507234,0.12181981,0.2811,0.22005,0.3898,0.3568,1.6807464,-21.962425,-19.325548,-13.140525,-11.498193,26.584421,1393.0,1,4.14134
0.26829043,0.1893339,0.03288584,0.47860998,0.44572413,0.23327,0.089433335,0.2725,0.25385,1.701858,-15.6351595,-15.216853,-9.508562,-8.941318,266.82285,1412.0,1,16.281736
0.4700799,0.5591462,0.023178628,0.74588364,0.722705,0.28743333,0.046266668,0.19398,0.167725,1.4861215,-15.339776,-15.792767,-9.349343,-10.626834,145.28215,1430.0,1,14.360486
0.45287275,0.48965514,0.050185304,0.7529244,0.7027391,0.2844,0.04965,0.1906,0.1826375,1.5471412,-15.527535,-15.416265,-9.729156,-9.964355,146.28755,1442.0,1,13.144391
0.5025688,0.54579806,0.02640537,0.76165515,0.73524976,0.3093625,0.0472,0.17446667,0.17261429,1.5016804,-15.747912,-15.800547,-9.692401,-10.521912,143.10686,1465.0,1,9.197898
0.50129217,0.5507225,0.037171625,0.7631432,0.7259716,0.31051666,0.0493,0.176625,0.172875,1.536044,-15.347959,-15.823444,-10.037953,-10.301426,153.41559,1500.0,1,8.239854
0.17223968,-0.11611723,0.06678891,0.35645315,0.28966424,0.21906666,0.12066,0.3316,0.31532,1.3833082,-16.387705,-17.259268,-10.603831,-12.476806,233.15327,1527.0,1,4.6298532
0.27899423,0.19689402,0.047362138,0.5265716,0.47920945,0.23148571,0.0815,0.21935,0.23915,1.618089,-15.819884,-15.3372555,-9.230633,-9.478623,213.71236,1491.0,1,3.3411913
0.3663653,0.37076357,0.01269365,0.67108566,0.658392,0.2238,0.0461,0.18215,0.17616667,1.7060066,-14.527337,-14.371738,-8.413959,-8.424198,90.0,1463.0,1,3.707878
0.3261372,0.25799784,0.010728154,0.53252816,0.5218,0.25363332,0.0797,0.2536,0.2392,1.5584177,-15.538649,-15.5281925,-9.911375,-9.964076,134.97614,1411.0,1,6.5326295
0.16538265,0.047031287,0.12278614,0.39050063,0.2677145,0.246,0.1421,0.2938,0.3037,1.768696,-16.358961,-18.530272,-10.244517,-10.476798,206.58427,1382.0,1,8.239844
0.10025782,0.013029546,0.07768001,0.24238591,0.1647059,0.2475,0.1775,0.33945,0.3551,1.7424846,-19.83538,-20.420744,-12.651428,-11.719326,198.44937,1383.0,1,5.846088
0.33883712,0.27552223,0.095475115,0.63685983,0.54138476,0.257225,0.07653333,0.20335,0.23926666,1.7649708,-14.40174,-14.832825,-8.027632,-8.404006,212.02698,1385.0,1,8.684862
0.26427627,0.22381781,-0.0076818555,0.4019859,0.40966776,0.24715,0.1035,0.2007,0.22736,1.6739756,-15.564672,-15.108604,-9.443825,-9.025582,262.8809,1388.0,1,7.4417133
0.0938559,0.035180733,0.19357204,0.3447856,0.15121356,0.2506,0.18476667,0.26545,0.3348,1.7036428,-16.404263,-19.23148,-10.600989,-11.288445,239.05742,1399.0,1,5.395483
0.25254238,0.26743332,0.3181511,0.72194517,0.40379405,0.259,0.11,0.19365,0.2409,1.7557483,-15.164037,-15.963258,-8.955414,-9.091997,180.0,1396.0,1,2.7802885
0.3080136,0.23189844,0.044017203,0.54607123,0.502054,0.25595,0.08485,0.2442,0.2429,1.5970691,-16.183443,-16.497417,-10.010358,-10.329807,180.0,1494.0,1,1.8543341
0.4805928,0.5276577,0.022671688,0.7276879,0.7050162,0.30183333,0.05222,0.1735,0.16665,1.6085637,-15.668574,-14.135366,-10.118121,-8.787571,292.36325,1449.0,1,16.584675
0.4038686,0.44823363,-0.06294284,0.6076722,0.670615,0.24446666,0.0482,0.218175,0.16876,1.6066524,-15.793464,-16.552446,-9.7467985,-10.302444,92.60038,1537.0,1,19.63629
0.2859717,0.24528667,-0.049566057,0.4489796,0.49854565,0.21466666,0.071833335,0.2854,0.2115,1.613629,-15.972138,-14.58678,-10.544469,-9.039736,314.9765,1425.0,1,2.6225839
0.3212032,0.29078704,-0.029178772,0.52919567,0.5583744,0.22113334,0.06266667,0.2629,0.2049,1.6590097,-15.584047,-14.039008,-10.378493,-8.462282,341.55096,1424.0,1,2.930666
0.2771853,0.23235212,-0.048178032,0.4343731,0.48255113,0.2156,0.07525,0.29175,0.2177,1.6272728,-16.056625,-14.507505,-10.589615,-8.915226,-0.0,1423.0,1,2.7802885
0.3225934,0.28752553,-0.043670166,0.52166975,0.5653399,0.22214,0.061683334,0.25645,0.20565,1.6409433,-15.746139,-14.189241,-10.333326,-8.647003,333.41617,1421.0,1,2.0733676
0.31000465,0.27809793,-0.11882766,0.416332,0.53515965,0.21995,0.0666,0.2796,0.20425,1.6772985,-16.361315,-14.625989,-11.187711,-8.719968,-0.0,1428.0,1,3.7047918
0.30537996,0.30222997,0.0041277516,0.556213,0.5520852,0.2112,0.06095,0.2335,0.19,1.6515586,-15.759246,-14.281477,-10.449876,-8.647272,321.31732,1396.0,1,5.9195857
0.34349233,0.300339,-0.14407553,0.44904226,0.5931178,0.22376667,0.05715,0.2763,0.19785,1.7088953,-16.152308,-14.564648,-10.774288,-8.522843,338.18243,1419.0,1,4.982657
0.30676615,0.20061098,0.056766823,0.56782097,0.51105416,0.2358,0.0763,0.2355,0.237125,1.5992063,-15.875347,-15.563657,-9.796445,-9.732113,254.06706,1549.0,1,6.726308
0.40792614,0.4131383,-0.05817844,0.6039659,0.6621443,0.25115,0.05105,0.2452,0.1882,1.700681,-15.972822,-14.393319,-10.271795,-8.463268,194.0473,1424.0,1,3.8186634
0.3928482,0.38650307,-0.09969065,0.55801105,0.65770173,0.2373,0.049,0.264,0.1877,1.71057,-16.376707,-14.270681,-10.591576,-8.342647,198.44904,1416.0,1,2.9306657
0.3857912,0.38773775,-0.048188243,0.5868726,0.63506085,0.2453,0.05475,0.2566,0.19023333,1.7643814,-16.747902,-14.29479,-10.783938,-8.101871,206.58383,1419.0,1,4.1413183
0.44255745,0.440897,-0.063880816,0.6338798,0.6977606,0.26345,0.0469,0.253,0.18644667,1.6968201,-16.47741,-14.4679575,-10.768645,-8.526512,225.02345,1421.0,1,2.622582
0.37659186,0.38955247,-0.01350737,0.61482316,0.6283305,0.2414,0.0551,0.2491,0.188625,1.742168,-16.66654,-14.403038,-10.656849,-8.267307,225.02345,1422.0,1,1.311978
0.31871566,0.28113368,-0.08764611,0.46554413,0.55319023,0.22375,0.06436667,0.2757,0.2094,1.7132553,-15.398443,-14.088511,-9.300752,-8.223241,333.41608,1450.0,1,4.1413217
0.32562983,0.2902413,-0.044205904,0.5168212,0.5610271,0.2219,0.0624,0.2744,0.2061,1.7287787,-15.61597,-14.3148155,-10.205297,-8.280305,341.5509,1442.0,1,2.9306667
0.28669935,0.22708423,-0.15063259,0.34473908,0.49537167,0.21943334,0.07405,0.3018,0.2161,1.612589,-16.316317,-14.846336,-10.613203,-9.206522,36.892506,1438.0,1,4.6287317
0.3354318,0.2886043,-0.15799499,0.42350006,0.58149505,0.22135,0.058575,0.27515,0.1994,1.6596595,-15.772463,-14.459996,-9.959192,-8.712628,45.02355,1437.0,1,2.6225863
0.31787148,0.29207996,-0.05950406,0.5233671,0.5828712,0.20515,0.0540625,0.26565,0.19083333,1.732785,-15.752955,-14.271259,-9.643125,-8.236024,33.711803,1430.0,1,3.3411698
0.33178306,0.3108262,-0.0057519255,0.5617466,0.5674985,0.23005,0.063475,0.2471,0.2024,1.6501443,-15.718288,-14.48289,-10.201112,-8.776741,33.711754,1411.0,1,3.341168
0.33083808,0.27061713,0.025811827,0.5744888,0.54867697,0.23265,0.0678,0.2646,0.21685,1.6434987,-15.62526,-14.031109,-10.321111,-8.537341,71.57913,1422.0,1,2.9325848
0.33404323,0.3209906,0.03317203,0.60621214,0.5730401,0.22891666,0.062133335,0.2476,0.19645,1.669801,-15.584779,-14.146118,-10.403262,-8.471739,-0.0,1401.0,1,5.547545
0.3732125,0.3707324,-0.020098485,0.600672,0.6207705,0.2419,0.0566,0.24645,0.19345,1.6528624,-15.902366,-14.525468,-10.09446,-8.788069,333.41617,1426.0,1,2.0733674
0.3627545,0.3565242,-0.03560404,0.579475,0.61507905,0.23885,0.056925,0.2435,0.19446667,1.6771635,-15.754398,-14.525447,-10.189066,-8.660723,18.449036,1429.0,1,2.9306657
0.2717413,0.21207786,0.08596505,0.56699324,0.48102817,0.21175,0.0742,0.24095,0.21595,1.6897874,-15.59266,-14.537604,-10.054072,-8.603214,90.0,1418.0,1,3.7078176
0.34380528,0.34203655,-0.02081343,0.5658784,0.5866918,0.2313,0.06025,0.241,0.19445,1.6674068,-15.613904,-14.420372,-10.198085,-8.648383,33.71172,1394.0,1,6.659763
0.3521861,0.30533826,0.014615294,0.59994864,0.58533335,0.2378,0.0622,0.25795,0.20925,1.6060454,-15.797997,-14.183905,-10.102198,-8.831572,45.023445,1412.0,1,3.9304452
0.34564352,0.2950963,-0.02302242,0.58196944,0.60499185,0.22185,0.0546,0.2428,0.19885,1.6675445,-15.842229,-14.244723,-10.348148,-8.542335,134.97656,1423.0,1,1.3119779
0.3219151,0.24799779,0.007795997,0.56475586,0.55695987,0.2279,0.06485,0.2494,0.22274166,1.69992,-15.630787,-14.511333,-9.901674,-8.53648,-0.0,1417.0,1,3.7047918
0.41548064,0.5448929,0.06431479,0.7476577,0.68334293,0.2553,0.048025,0.15384,0.14816667,1.5560958,-16.360373,-16.278255,-11.397597,-10.4609585,243.45375,1325.0,1,4.143352
0.40097463,0.41065478,0.054462377,0.7147234,0.66026103,0.26755625,0.05475,0.17985,0.1997,1.4442166,-15.102918,-18.28164,-10.162813,-12.658516,67.76745,1552.0,1,21.059177
0.030477872,-0.12222316,0.028067641,0.08241095,0.05434331,0.22952,0.20586,0.38055834,0.393375,1.5764303,-25.355871,-25.136396,-15.769971,-15.945136,250.03215,1549.0,1,10.736504
